cell_id,icp_type,query,lat,lng,zoom,priority
nsw-queanbeyan-q2,foundation,reblocking,-35.353,149.232,13,P1
nsw-queanbeyan-q3,foundation,foundation repair,-35.353,149.232,13,P1
nsw-queanbeyan-q4,foundation,house levelling,-35.353,149.232,13,P1
nsw-queanbeyan-q5,foundation,house relevelling,-35.353,149.232,13,P1
nsw-queanbeyan-q6,foundation,slab lifting,-35.353,149.232,13,P1
nsw-queanbeyan-q7,foundation,resin injection underpinning,-35.353,149.232,13,P1
nsw-queanbeyan-q8,foundation,subsidence repair,-35.353,149.232,13,P1
nsw-queanbeyan-q9,adjacent,house raising,-35.353,149.232,13,P2
nsw-katoomba-blue-mountains-q0,foundation,underpinning,-33.714,150.312,13,P1
nsw-katoomba-blue-mountains-q1,foundation,restumping,-33.714,150.312,13,P1
nsw-katoomba-blue-mountains-q2,foundation,reblocking,-33.714,150.312,13,P1
nsw-katoomba-blue-mountains-q3,foundation,foundation repair,-33.714,150.312,13,P1
nsw-katoomba-blue-mountains-q4,foundation,house levelling,-33.714,150.312,13,P1
nsw-katoomba-blue-mountains-q5,foundation,house relevelling,-33.714,150.312,13,P1
nsw-katoomba-blue-mountains-q6,foundation,slab lifting,-33.714,150.312,13,P1
nsw-katoomba-blue-mountains-q7,foundation,resin injection underpinning,-33.714,150.312,13,P1
nsw-katoomba-blue-mountains-q8,foundation,subsidence repair,-33.714,150.312,13,P1
nsw-katoomba-blue-mountains-q9,adjacent,house raising,-33.714,150.312,13,P2
nsw-lithgow-q0,foundation,underpinning,-33.483,150.157,13,P1
nsw-lithgow-q1,foundation,restumping,-33.483,150.157,13,P1
nsw-lithgow-q2,foundation,reblocking,-33.483,150.157,13,P1
nsw-lithgow-q3,foundation,foundation repair,-33.483,150.157,13,P1
nsw-lithgow-q4,foundation,house levelling,-33.483,150.157,13,P1
nsw-lithgow-q5,foundation,house relevelling,-33.483,150.157,13,P1
nsw-lithgow-q6,foundation,slab lifting,-33.483,150.157,13,P1
nsw-lithgow-q7,foundation,resin injection underpinning,-33.483,150.157,13,P1
nsw-lithgow-q8,foundation,subsidence repair,-33.483,150.157,13,P1
nsw-lithgow-q9,adjacent,house raising,-33.483,150.157,13,P2
nsw-bathurst-q0,foundation,underpinning,-33.419,149.578,13,P1
nsw-bathurst-q1,foundation,restumping,-33.419,149.578,13,P1
nsw-bathurst-q2,foundation,reblocking,-33.419,149.578,13,P1
nsw-bathurst-q3,foundation,foundation repair,-33.419,149.578,13,P1
nsw-bathurst-q4,foundation,house levelling,-33.419,149.578,13,P1
nsw-bathurst-q5,foundation,house relevelling,-33.419,149.578,13,P1
nsw-bathurst-q6,foundation,slab lifting,-33.419,149.578,13,P1
nsw-bathurst-q7,foundation,resin injection underpinning,-33.419,149.578,13,P1
nsw-bathurst-q8,foundation,subsidence repair,-33.419,149.578,13,P1
nsw-bathurst-q9,adjacent,house raising,-33.419,149.578,13,P2
nsw-orange-q0,foundation,underpinning,-33.284,149.1,13,P1
nsw-orange-q1,foundation,restumping,-33.284,149.1,13,P1
nsw-orange-q2,foundation,reblocking,-33.284,149.1,13,P1
nsw-orange-q3,foundation,foundation repair,-33.284,149.1,13,P1
nsw-orange-q4,foundation,house levelling,-33.284,149.1,13,P1
nsw-orange-q5,foundation,house relevelling,-33.284,149.1,13,P1
nsw-orange-q6,foundation,slab lifting,-33.284,149.1,13,P1
nsw-orange-q7,foundation,resin injection underpinning,-33.284,149.1,13,P1
nsw-orange-q8,foundation,subsidence repair,-33.284,149.1,13,P1
nsw-orange-q9,adjacent,house raising,-33.284,149.1,13,P2
nsw-mudgee-q0,foundation,underpinning,-32.594,149.588,13,P1
nsw-mudgee-q1,foundation,restumping,-32.594,149.588,13,P1
nsw-mudgee-q2,foundation,reblocking,-32.594,149.588,13,P1
nsw-mudgee-q3,foundation,foundation repair,-32.594,149.588,13,P1
nsw-mudgee-q4,foundation,house levelling,-32.594,149.588,13,P1
nsw-mudgee-q5,foundation,house relevelling,-32.594,149.588,13,P1
nsw-mudgee-q6,foundation,slab lifting,-32.594,149.588,13,P1
nsw-mudgee-q7,foundation,resin injection underpinning,-32.594,149.588,13,P1
nsw-mudgee-q8,foundation,subsidence repair,-32.594,149.588,13,P1
nsw-mudgee-q9,adjacent,house raising,-32.594,149.588,13,P2
nsw-dubbo-q0,foundation,underpinning,-32.2569,148.6011,13,P1
nsw-dubbo-q1,foundation,restumping,-32.2569,148.6011,13,P1
nsw-dubbo-q2,foundation,reblocking,-32.2569,148.6011,13,P1
nsw-dubbo-q3,foundation,foundation repair,-32.2569,148.6011,13,P1
nsw-dubbo-q4,foundation,house levelling,-32.2569,148.6011,13,P1
nsw-dubbo-q5,foundation,house relevelling,-32.2569,148.6011,13,P1
nsw-dubbo-q6,foundation,slab lifting,-32.2569,148.6011,13,P1
nsw-dubbo-q7,foundation,resin injection underpinning,-32.2569,148.6011,13,P1
nsw-dubbo-q8,foundation,subsidence repair,-32.2569,148.6011,13,P1
nsw-dubbo-q9,adjacent,house raising,-32.2569,148.6011,13,P2
nsw-parkes-q0,foundation,underpinning,-33.137,148.176,13,P1
nsw-parkes-q1,foundation,restumping,-33.137,148.176,13,P1
